HS;BEC
100191;111
100199;111
100210;111
100290;111
100310;111
100390;111
100410;21
100490;21
100510;21
100590;21
100610;111
100620;111
100630;122
100640;122
100710;111
100790;111
100810;111
100821;111
100829;111
100830;111
100840;111
100850;111
100860;111
100890;111
110100;121
110220;121
110290;121
110311;121
110313;121
110319;121
110320;121
110412;122
110419;122
110422;122
110423;122
110429;122
110430;122
110510;121
110520;121
110610;121
110620;121
110630;121
110710;121
110720;121
110811;22
110812;22
110813;22
110814;22
110819;22
110820;22
110900;121
120110;111
120190;111
120230;111
120241;111
120242;111
120300;111
120400;21
120510;111
120590;111
120600;111
120710;21
120721;111
120729;111
120730;21
120740;111
120750;111
120760;21
120770;21
120791;111
120799;21
120810;121
120890;121
120910;21
120921;21
120922;21
120923;21
120924;21
120925;21
120929;21
120930;21
120991;21
120999;21
121010;111
121020;111
121120;12
121130;21
121140;21
121150;21
121190;12
121221;21
121229;21
121291;111
121292;111
121293;111
121294;111
121299;111
121300;21
121410;21
121490;21
130120;21
130190;21
130211;21
130212;21
130213;21
130214;21
130219;21
130220;21
130231;22
130232;22
130239;22
140110;21
140120;21
140190;21
140420;21
140490;21
150110;22
150120;22
150190;22
150210;22
150290;22
150300;22
150410;22
150420;121
150430;121
150500;22
150600;22
150710;121
150790;122
150810;121
150890;122
150910;122
150990;122
151000;121
151110;121
151190;121
151211;121
151219;122
151221;121
151229;121
151311;121
151319;121
151321;121
151329;121
151411;121
151419;122
151491;121
151499;122
151511;22
151519;22
151521;121
151529;122
151530;22
151550;121
151590;22
151610;121
151620;121
151710;122
151790;122
151800;22
152000;22
152110;22
152190;22
152200;21
160100;122
160210;122
160220;122
160231;122
160232;122
160239;122
160241;122
160242;122
160249;122
160250;122
160290;122
160300;121
160411;122
160412;122
160413;122
160414;122
160415;122
160416;122
160417;122
160418;122
160419;122
160420;122
160431;122
160432;122
160510;122
160521;122
160529;122
160530;122
160540;122
160551;122
160552;122
160553;122
160554;122
160555;122
160556;122
160557;122
160558;122
160559;122
160561;122
160562;122
160563;122
160569;122
170112;121
170113;121
170114;121
170191;121
170199;122
170211;121
170219;121
170220;122
170230;121
170240;121
170250;121
170260;121
170290;121
170310;121
170390;121
170410;122
170490;122
180100;111
180200;21
180310;121
180320;121
180400;121
180500;121
180610;122
180620;121
180631;122
180632;122
180690;122
190110;122
190120;122
190190;121
190211;122
190219;122
190220;122
190230;122
190240;122
190300;121
190410;122
190420;122
190430;122
190490;122
190510;122
190520;122
190531;122
190532;122
190540;122
190590;122
200110;122
200190;122
200210;122
200290;122
200310;122
200390;122
200410;122
200490;122
200510;122
200520;122
200540;122
200551;122
200559;122
200560;122
200570;122
200580;122
200591;122
200599;122
200600;122
200710;122
200791;122
200799;122
200811;122
200819;122
200820;122
200830;122
200840;122
200850;122
200860;122
200870;122
200880;122
200891;122
200893;122
200897;122
200899;122
200911;122
200912;122
200919;122
200921;122
200929;122
200931;122
200939;122
200941;122
200949;122
200950;122
200961;122
200969;122
200971;122
200979;122
200981;122
200989;122
200990;122
210111;122
210112;122
210120;122
210130;122
210210;121
210220;121
210230;121
210310;122
210320;122
210330;122
210390;122
210410;122
210420;122
210500;122
210610;122
210690;122
220110;122
220190;122
220210;122
220291;122
220299;122
220300;122
220410;122
220421;122
220422;122
220429;122
220430;121
220510;122
220590;122
220600;122
220710;22
220720;22
220820;122
220830;122
220840;122
220850;122
220860;122
220870;122
220890;122
220900;122
230110;22
230120;22
230210;121
230230;121
230240;121
230250;121
230310;21
230320;21
230330;21
230400;22
230500;22
230610;22
230620;22
230630;22
230641;22
230649;22
230650;22
230660;22
230690;22
230700;121
230800;21
230910;63
230990;22
240110;21
240120;21
240130;21
240210;63
240220;63
240290;63
240311;63
240319;63
240391;63
240399;22
250100;21
250200;21
250300;21
250410;21
250490;21
250510;21
250590;21
250610;21
250620;21
250700;21
250810;21
250830;21
250840;21
250850;21
250860;21
250870;21
250900;21
251010;21
251020;21
251110;21
251120;21
251200;21
251310;21
251320;21
251400;21
251511;21
251512;21
251520;21
251611;21
251612;21
251620;21
251690;21
251710;21
251720;21
251730;21
251741;21
251749;21
251810;21
251820;21
251830;21
251910;21
251990;21
252010;21
252020;22
252100;21
252210;22
252220;22
252230;22
252310;22
252321;22
252329;22
252330;22
252390;22
252410;21
252490;21
252510;21
252520;21
252530;21
252610;21
252620;21
252800;21
252910;21
252921;21
252922;21
252930;21
253010;21
253020;21
253090;21
260111;21
260112;21
260120;21
260200;21
260300;21
260400;21
260500;21
260600;21
260700;21
260800;21
260900;21
261000;21
261100;21
261210;21
261220;21
261310;21
261390;21
261400;21
261510;21
261590;21
261610;21
261690;21
261710;21
261790;21
261800;21
261900;21
262011;21
262019;21
262021;21
262029;21
262030;21
262040;21
262060;21
262091;21
262099;21
262110;21
262190;21
270111;31
270112;31
270119;31
270120;322
270210;31
270220;322
270300;31
270400;322
270500;322
270600;22
270710;22
270720;22
270730;22
270740;22
270750;22
270791;22
270799;22
270810;22
270820;22
270900;31
271012;32
271019;32
271020;32
271091;21
271099;21
271111;322
271112;322
271113;322
271114;322
271119;322
271121;31
271129;31
271210;22
271220;22
271290;22
271311;22
271312;22
271320;22
271390;22
271410;21
271490;21
271500;22
271600;322
280110;22
280120;22
280130;22
280200;22
280300;22
280410;22
280421;22
280429;22
280430;22
280440;22
280450;22
280461;22
280469;22
280470;22
280480;22
280490;22
280511;22
280512;22
280519;22
280530;22
280540;22
280610;22
280620;22
280700;22
280800;22
280910;22
280920;22
281000;22
281111;22
281112;22
281119;22
281121;22
281122;22
281129;22
281211;22
281212;22
281213;22
281214;22
281215;22
281216;22
281217;22
281219;22
281290;22
281310;22
281390;22
281410;22
281420;22
281511;22
281512;22
281520;22
281530;22
281610;22
281640;22
281700;22
281810;22
281820;22
281830;22
281910;22
281990;22
282010;22
282090;22
282110;22
282120;22
282200;22
282300;22
282410;22
282490;22
282510;22
282520;22
282530;22
282540;22
282550;22
282560;22
282570;22
282580;22
282590;22
282612;22
282619;22
282630;22
282690;22
282710;22
282720;22
282731;22
282732;22
282735;22
282739;22
282741;22
282749;22
282751;22
282759;22
282760;22
282810;22
282890;22
282911;22
282919;22
282990;22
283010;22
283090;22
283110;22
283190;22
283210;22
283220;22
283230;22
283311;22
283319;22
283321;22
283322;22
283324;22
283325;22
283327;22
283329;22
283330;22
283340;22
283410;22
283421;22
283429;22
283510;22
283522;22
283524;22
283525;22
283526;22
283529;22
283531;22
283539;22
283620;22
283630;22
283640;22
283650;22
283660;22
283691;22
283692;22
283699;22
283711;22
283719;22
283720;22
283911;22
283919;22
283990;22
284011;22
284019;22
284020;22
284030;22
284130;22
284150;22
284161;22
284169;22
284170;22
284180;22
284190;22
284210;22
284290;22
284310;22
284321;22
284329;22
284330;22
284390;22
284410;22
284420;22
284430;22
284440;22
284450;21
284510;22
284590;22
284610;22
284690;22
284700;22
284910;22
284920;22
284990;22
285000;22
285210;22
285290;22
285310;22
285390;22
290110;22
290121;22
290122;22
290123;22
290124;22
290129;22
290211;22
290219;22
290220;22
290230;22
290241;22
290242;22
290243;22
290244;22
290250;22
290260;22
290270;22
290290;22
290311;22
290312;22
290313;22
290314;22
290315;22
290319;22
290321;22
290322;22
290323;22
290329;22
290331;22
290339;22
290371;22
290372;22
290373;22
290374;22
290375;22
290376;22
290377;22
290378;22
290379;22
290381;22
290382;22
290383;22
290389;22
290391;22
290392;22
290393;22
290394;22
290399;22
290410;22
290420;22
290431;22
290432;22
290433;22
290434;22
290435;22
290436;22
290491;22
290499;22
290511;22
290512;22
290513;22
290514;22
290516;22
290517;22
290519;22
290522;22
290529;22
290531;22
290532;22
290539;22
290541;22
290542;22
290543;22
290544;22
290545;22
290549;22
290551;22
290559;22
290611;22
290612;22
290613;22
290619;22
290621;22
290629;22
290711;22
290712;22
290713;22
290715;22
290719;22
290721;22
290722;22
290723;22
290729;22
290811;22
290819;22
290891;22
290892;22
290899;22
290911;22
290919;22
290920;22
290930;22
290941;22
290943;22
290944;22
290949;22
290950;22
290960;22
291010;22
291020;22
291030;22
291040;22
291050;22
291090;22
291100;22
291211;22
291212;22
291219;22
291221;22
291229;22
291241;22
291242;22
291249;22
291250;22
291260;22
291300;22
291411;22
291412;22
291413;22
291419;22
291422;22
291423;22
291429;22
291431;22
291439;22
291440;22
291450;22
291461;22
291462;22
291469;22
291471;22
291479;22
291511;22
291512;22
291513;22
291521;22
291524;22
291529;22
291531;22
291532;22
291533;22
291536;22
291539;22
291540;22
291550;22
291560;22
291570;22
291590;22
291611;22
291612;22
291613;22
291614;22
291615;22
291616;22
291619;22
291620;22
291631;22
291632;22
291634;22
291639;22
291711;22
291712;22
291713;22
291714;22
291719;22
291720;22
291732;22
291733;22
291734;22
291735;22
291736;22
291737;22
291739;22
291811;22
291812;22
291813;22
291814;22
291815;22
291816;22
291817;22
291818;22
291819;22
291821;22
291822;22
291823;22
291829;22
291830;22
291891;22
291899;22
291910;22
291990;22
292011;22
292019;22
292021;22
292022;22
292023;22
292024;22
292029;22
292030;22
292090;22
292111;22
292112;22
292113;22
292114;22
292119;22
292121;22
292122;22
292129;22
292130;22
292141;22
292142;22
292143;22
292144;22
292145;22
292146;22
292149;22
292151;22
292159;22
292211;22
292212;22
292214;22
292215;22
292216;22
292217;22
292218;22
292219;22
292221;22
292229;22
292231;22
292239;22
292241;22
292242;22
292243;22
292244;22
292249;22
292250;22
292310;22
292320;22
292330;22
292340;22
292390;22
292411;22
292412;22
292419;22
292421;22
292423;22
292424;22
292425;22
292429;22
292511;22
292512;22
292519;22
292521;22
292529;22
292610;22
292620;22
292630;22
292640;22
292690;22
292700;22
292800;22
292910;22
292990;22
293020;22
293030;22
293040;22
293060;22
293070;22
293080;22
293090;22
293110;22
293120;22
293131;22
293132;22
293133;22
293134;22
293135;22
293136;22
293137;22
293138;22
293139;22
293190;22
293211;22
293212;22
293213;22
293214;22
293219;22
293220;22
293291;22
293292;22
293293;22
293294;22
293295;22
293299;22
293311;22
293319;22
293321;22
293329;22
293331;22
293332;22
293333;22
293339;22
293341;22
293349;22
293352;22
293353;22
293354;22
293355;22
293359;22
293361;22
293369;22
293371;22
293372;22
293379;22
293391;22
293392;22
293399;22
293410;22
293420;22
293430;22
293491;22
293499;22
293510;22
293520;22
293530;22
293540;22
293550;22
293590;22
293621;22
293622;22
293623;22
293624;22
293625;22
293626;22
293627;22
293628;22
293629;22
293690;22
293711;22
293712;22
293719;22
293721;22
293722;22
293723;22
293729;22
293750;22
293790;22
293810;22
293890;22
293911;22
293919;22
293920;22
293930;22
293941;22
293942;22
293943;22
293944;22
293949;22
293951;22
293959;22
293961;22
293962;22
293963;22
293969;22
293971;22
293979;22
293980;22
294000;22
294110;22
294120;22
294130;22
294140;22
294150;22
294190;22
294200;22
300120;22
300190;22
300211;22
300212;22
300213;22
300214;22
300215;22
300219;22
300220;22
300230;22
300290;22
300310;22
300320;22
300331;22
300339;22
300341;22
300342;22
300343;22
300349;22
300360;22
300390;22
300410;63
300420;63
300431;63
300432;63
300439;63
300441;63
300442;63
300443;63
300449;63
300450;63
300460;63
300490;63
300510;22
300590;22
300610;22
300620;22
300630;22
300640;22
300650;22
300660;63
300670;22
300691;62
300692;21
310100;21
310210;22
310221;22
310229;22
310230;22
310240;22
310250;21
310260;22
310280;22
310290;22
310311;22
310319;22
310390;22
310420;22
310430;22
310490;22
310510;22
310520;22
310530;22
310540;22
310551;22
310559;22
310560;22
310590;22
320110;22
320120;22
320190;22
320210;22
320290;22
320300;22
320411;22
320412;22
320413;22
320414;22
320415;22
320416;22
320417;22
320419;22
320420;22
320490;22
320500;22
320611;22
320619;22
320620;22
320641;22
320642;22
320649;22
320650;22
320710;22
320720;22
320730;22
320740;22
320810;22
320820;22
320890;22
320910;22
320990;22
321000;22
321100;22
321210;22
321290;22
321310;63
321390;63
321410;22
321490;22
321511;22
321519;22
321590;22
330112;22
330113;22
330119;22
330124;22
330125;22
330129;22
330130;22
330190;22
330210;22
330290;22
330300;63
330410;63
330420;63
330430;63
330491;63
330499;63
330510;63
330520;63
330530;63
330590;63
330610;63
330620;63
330690;63
330710;63
330720;63
330730;63
330741;63
330749;63
330790;63
340111;63
340119;63
340120;63
340130;63
340211;22
340212;22
340213;22
340219;22
340220;63
340290;22
340311;322
340319;322
340391;322
340399;322
340420;22
340490;22
340510;63
340520;63
340530;63
340540;63
340590;63
340600;63
340700;22
350110;22
350190;22
350211;111
350219;111
350220;22
350290;22
350300;22
350400;22
350510;22
350520;22
350610;63
350691;22
350699;22
350710;121
350790;22
360100;22
360200;22
360300;22
360410;22
360490;22
360500;63
360610;63
360690;22
370110;22
370120;22
370130;22
370191;22
370199;22
370210;22
370231;22
370232;22
370239;22
370241;22
370242;22
370243;22
370244;22
370252;63
370253;63
370254;63
370255;22
370256;22
370296;63
370297;22
370298;22
370310;22
370320;22
370390;22
370400;22
370500;22
370610;22
370690;22
370710;22
370790;22
380110;22
380120;22
380130;22
380190;22
380210;22
380290;22
380300;22
380400;22
380510;22
380590;22
380610;22
380620;22
380630;22
380690;22
380700;22
380852;63
380859;63
380861;63
380862;63
380869;63
380891;63
380892;63
380893;63
380894;63
380899;63
380910;22
380991;22
380992;22
380993;22
381010;22
381090;22
381111;22
381119;22
381121;22
381129;22
381190;22
381210;22
381220;22
381231;22
381239;22
381300;22
381400;22
381511;22
381512;22
381519;22
381590;22
381600;22
381700;22
381800;22
381900;22
382000;22
382100;22
382200;22
382311;22
382312;22
382313;22
382319;22
382370;22
382410;22
382430;22
382440;22
382450;22
382460;22
382471;22
382472;22
382473;22
382474;22
382475;22
382476;22
382477;22
382478;22
382479;22
382481;22
382482;22
382483;22
382484;22
382485;22
382486;22
382487;22
382488;22
382491;22
382499;22
382510;21
382520;21
382530;21
382541;21
382549;21
382550;21
382561;21
382569;21
382590;21
382600;22
390110;22
390120;22
390130;22
390140;22
390190;22
390210;22
390220;22
390230;22
390290;22
390311;22
390319;22
390320;22
390330;22
390390;22
390410;22
390421;22
390422;22
390430;22
390440;22
390450;22
390461;22
390469;22
390490;22
390512;22
390519;22
390521;22
390529;22
390530;22
390591;22
390599;22
390610;22
390690;22
390710;22
390720;22
390730;22
390740;22
390750;22
390761;22
390769;22
390770;22
390791;22
390799;22
390810;22
390890;22
390910;22
390920;22
390931;22
390939;22
390940;22
390950;22
391000;22
391110;22
391190;22
391211;22
391212;22
391220;22
391231;22
391239;22
391290;22
391310;22
391390;22
391400;22
391510;21
391520;21
391530;21
391590;21
391610;22
391620;22
391690;22
391710;22
391721;22
391722;22
391723;22
391729;22
391731;22
391732;22
391733;22
391739;22
391740;22
391810;22
391890;22
391910;22
391990;22
392010;22
392020;22
392030;22
392043;22
392049;22
392051;22
392059;22
392061;22
392062;22
392063;22
392069;22
392071;22
392073;22
392079;22
392091;22
392092;22
392093;22
392094;22
392099;22
392111;22
392112;22
392113;22
392114;22
392119;22
392190;22
392210;22
392220;62
392290;22
392310;22
392321;22
392329;22
392330;22
392340;22
392350;22
392390;22
392410;62
392490;62
392510;22
392520;22
392530;62
392590;22
392610;22
392620;63
392630;22
392640;62
392690;62
400110;21
400121;21
400122;21
400129;21
400130;21
400211;22
400219;22
400220;22
400231;22
400239;22
400241;22
400249;22
400251;22
400259;22
400260;22
400270;22
400280;22
400291;22
400299;22
400300;21
400400;21
400510;22
400520;22
400591;22
400599;22
400610;22
400690;22
400700;22
400811;22
400819;22
400821;22
400829;22
400911;22
400912;22
400921;22
400922;22
400931;22
400932;22
400941;22
400942;22
401011;42
401012;42
401019;42
401031;42
401032;42
401033;42
401034;42
401035;42
401036;42
401039;42
401110;53
401120;53
401130;53
401140;53
401150;53
401170;53
401180;53
401190;53
401211;53
401212;53
401213;53
401219;53
401220;53
401290;53
401310;53
401320;53
401390;53
401410;63
401490;22
401511;22
401519;63
401590;63
401610;63
401691;63
401692;63
401693;22
401694;22
401695;63
401699;22
401700;22
410120;21
410150;21
410190;21
410210;21
410221;21
410229;21
410320;21
410330;21
410390;21
410411;22
410419;22
410441;22
410449;22
410510;22
410530;22
410621;22
410622;22
410631;22
410632;22
410640;22
410691;22
410692;22
410711;22
410712;22
410719;22
410791;22
410792;22
410799;22
411200;22
411310;22
411320;22
411330;22
411390;22
411410;22
411420;22
411510;22
411520;21
420100;62
420211;62
420212;62
420219;62
420221;62
420222;62
420229;62
420231;62
420232;62
420239;62
420291;62
420292;62
420299;62
420310;62
420321;62
420329;62
420330;62
420340;62
420500;42
420600;22
430110;21
430130;21
430160;21
430180;21
430190;21
430211;22
430219;22
430220;22
430230;22
430310;62
430390;62
430400;62
440111;31
440112;31
440121;21
440122;21
440131;21
440139;21
440140;21
440210;322
440290;322
440311;21
440312;21
440321;21
440322;21
440323;21
440324;21
440325;21
440326;21
440341;21
440349;21
440391;21
440393;21
440394;21
440395;21
440396;21
440397;21
440398;21
440399;21
440410;21
440420;21
440500;22
440611;22
440612;22
440691;22
440692;22
440711;22
440712;22
440719;22
440721;22
440722;22
440725;22
440726;22
440727;22
440728;22
440729;22
440791;22
440792;22
440793;22
440794;22
440795;22
440796;22
440797;22
440799;22
440810;22
440831;22
440839;22
440890;22
440910;22
440921;22
440922;22
440929;22
441011;22
441012;22
441019;22
441090;22
441112;22
441113;22
441114;22
441192;22
441193;22
441194;22
441210;22
441231;22
441233;22
441234;22
441239;22
441294;22
441299;22
441300;22
441400;62
441510;22
441520;22
441600;22
441700;22
441810;22
441820;22
441840;22
441850;22
441860;22
441873;22
441874;22
441875;22
441879;22
441891;22
441899;22
441911;62
441912;62
441919;62
441990;62
442010;62
442090;62
442110;62
442191;22
442199;22
450110;21
450190;21
450200;21
450310;22
450390;22
450410;22
450490;22
460121;62
460122;62
460129;62
460192;62
460193;62
460194;62
460199;62
460211;62
460212;62
460219;62
460290;62
470100;22
470200;22
470311;22
470319;22
470321;22
470329;22
470411;22
470419;22
470421;22
470429;22
470500;22
470610;22
470620;22
470630;22
470691;22
470692;22
470693;22
470710;21
470720;21
470730;21
470790;21
480100;22
480210;22
480220;22
480240;22
480254;22
480255;22
480256;22
480257;22
480258;22
480261;22
480262;22
480269;22
480300;22
480411;22
480419;22
480421;22
480429;22
480431;22
480439;22
480441;22
480442;22
480449;22
480451;22
480452;22
480459;22
480511;22
480512;22
480519;22
480524;22
480525;22
480530;22
480540;22
480550;22
480591;22
480592;22
480593;22
480610;22
480620;22
480630;22
480640;22
480700;22
480810;22
480840;22
480890;22
480920;22
480990;22
481013;22
481014;22
481019;22
481022;22
481029;22
481031;22
481032;22
481039;22
481092;22
481099;22
481110;22
481141;22
481149;22
481151;22
481159;22
481160;22
481190;22
481200;22
481310;63
481320;22
481390;22
481420;22
481490;22
481620;22
481690;22
481710;63
481720;63
481730;63
481810;63
481820;63
481830;63
481850;63
481890;63
481910;22
481920;22
481930;22
481940;22
481950;22
481960;22
482010;22
482020;63
482030;22
482040;22
482050;63
482090;22
482110;22
482190;22
482210;22
482290;22
482320;22
482340;22
482361;63
482369;63
482370;22
482390;22
490110;63
490191;63
490199;63
490210;63
490290;63
490300;63
490400;62
490510;62
490591;63
490599;63
490600;22
490700;22
490810;22
490890;63
490900;63
491000;63
491110;22
491191;63
491199;22
500100;21
500200;22
500300;21
500400;22
500500;22
500600;63
500710;22
500720;22
500790;22
510111;21
510119;21
510121;21
510129;21
510130;21
510211;21
510219;21
510220;21
510310;21
510320;21
510330;21
510400;21
510510;22
510521;22
510529;22
510531;22
510539;22
510540;22
510610;22
510620;22
510710;22
510720;22
510810;22
510820;22
510910;63
510990;63
511000;22
511111;22
511119;22
511120;22
511130;22
511190;22
511211;22
511219;22
511220;22
511230;22
511290;22
511300;22
520100;21
520210;21
520291;21
520299;21
520300;22
520411;22
520419;22
520420;63
520511;22
520512;22
520513;22
520514;22
520515;22
520521;22
520522;22
520523;22
520524;22
520526;22
520527;22
520528;22
520531;22
520532;22
520533;22
520534;22
520535;22
520541;22
520542;22
520543;22
520544;22
520546;22
520547;22
520548;22
520611;22
520612;22
520613;22
520614;22
520615;22
520621;22
520622;22
520623;22
520624;22
520625;22
520631;22
520632;22
520633;22
520634;22
520635;22
520641;22
520642;22
520643;22
520644;22
520645;22
520710;63
520790;63
520811;22
520812;22
520813;22
520819;22
520821;22
520822;22
520823;22
520829;22
520831;22
520832;22
520833;22
520839;22
520841;22
520842;22
520843;22
520849;22
520851;22
520852;22
520859;22
520911;22
520912;22
520919;22
520921;22
520922;22
520929;22
520931;22
520932;22
520939;22
520941;22
520942;22
520943;22
520949;22
520951;22
520952;22
520959;22
521011;22
521019;22
521021;22
521029;22
521031;22
521032;22
521039;22
521041;22
521049;22
521051;22
521059;22
521111;22
521112;22
521119;22
521120;22
521131;22
521132;22
521139;22
521141;22
521142;22
521143;22
521149;22
521151;22
521152;22
521159;22
521211;22
521212;22
521213;22
521214;22
521215;22
521221;22
521222;22
521223;22
521224;22
521225;22
530110;21
530121;22
530129;22
530130;21
530210;21
530290;21
530310;21
530390;21
530500;21
530610;22
530620;22
530710;22
530720;22
530810;22
530820;22
530890;22
530911;22
530919;22
530921;22
530929;22
531010;22
531090;22
531100;22
540110;22
540120;22
540211;22
540219;22
540220;22
540231;22
540232;22
540233;22
540234;22
540239;22
540244;22
540245;22
540246;22
540247;22
540248;22
540249;22
540251;22
540252;22
540253;22
540259;22
540261;22
540262;22
540263;22
540269;22
540310;22
540331;22
540332;22
540333;22
540339;22
540341;22
540342;22
540349;22
540411;22
540412;22
540419;22
540490;22
540500;22
540600;63
540710;22
540720;22
540730;22
540741;22
540742;22
540743;22
540744;22
540751;22
540752;22
540753;22
540754;22
540761;22
540769;22
540771;22
540772;22
540773;22
540774;22
540781;22
540782;22
540783;22
540784;22
540791;22
540792;22
540793;22
540794;22
540810;22
540821;22
540822;22
540823;22
540824;22
540831;22
540832;22
540833;22
540834;22
550110;22
550120;22
550130;22
550140;22
550190;22
550210;22
550290;22
550311;22
550319;22
550320;22
550330;22
550340;22
550390;22
550410;22
550490;22
550510;21
550520;21
550610;22
550620;22
550630;22
550640;22
550690;22
550700;22
550810;22
550820;22
550911;22
550912;22
550921;22
550922;22
550931;22
550932;22
550941;22
550942;22
550951;22
